,Artist,genre,gender,top15words
JAY-Z,JAY-Z,rap,male,uh yeah youre day holy one know im nigga dont love thanks warning still cant yeah new york uh come now made okay will im street lights make youre big give cliché dont love care guy girl come know life nigga im take got aint nigga still real rich house field light dark faux poor im million skin black money im apologize never gonna treat know love heart day took eyes dont back wasnt cause tom ford nigga yall ass dont coming hov clap rapping blow stack trapping know fuck know got fuck bitch nigga bout hope im come sexy bad dont money uh thats anything im renegade never afraid cause say whats mind given time day see maybe motherfuckin aint problems one ninetynine bitch got well know hit havin dont im son try youre water go ocean fuck ahead im hope black dont white see docked winding road dirt hey yeah whats gon im run town tonight got now whos thing life ah black jayz know got never fuck aint love nigga dont everybody let real better gotta owe shit rap runnin dont nigga thats aint know roc one spark wally freeway run o big pimpin em now jigga man uh spendin pimp dont cheese blad s c bun yeah haya nigga im yall amen aint got turn old stop family thats vocal hayayaya picasso baby im uh want oh feeling man fuck wanna niggas modern go hand never thats aint im year hov oh back got game check dude now nigga name one song cant see comin eyes gotta cry make em dont know let got nigga shit smile nigga good im see free time now life love even huh thats dont yall yall got shit im scanners might learn today let time dont except fine buy still
Kanye West,Kanye West,rap,male,swerve believe girl teeth sound weepin gnashin lambo ooooookay lamborghini mercy chick thirsty iiiiim twoseat im monster see ima need hands fuckin nigga know motherfuckin concert now everybody ill gossip turn mornin youre dont wanna power nothin know beautiful feel sun babe unwanted help liberated im god feel never said part cant go come made going lets good ass make bound love nobody fall uhhuh honey know hey tired reputation lovin first got shit step chill see nigga cant fuck new slaves know yall bad im bout hampton nothing leave look ya toast run away lets baby find always know im every never dont got now niggas cause breathe couldve somebody im cant aint got wait first came body live black im god shit aint know go now theres knew niggas come bitch four mornin la parties im please baby money body know got dont nigga party make good tell bam ey dilla know wanted famous see whoo man let still cant might dont blame im say power man go got tripping letting everything one 21stcentury schizoid world now need ayy ima genie bottle yeah supermodel thick damn ass bustin bottom lose mind crazy medulla yeah someday still im nothing hurts anymore feel kinda free wanna everything kids used put wild found right now know lost turned dont corny wish beat need love bad round leave girl gotta go head aint money got need uh im gold digger now sayin kanye love miss old chop new look used straight go soul set goals hate bad real friend many aint im dont us got shit nigga time tell guess deserve doin grid kid im got gotta god uh yeah look rib crib lit know pray everything la tell cant nothing right yeah money uhuh wait til man let im saying something
Kendrick Lamar,Kendrick Lamar,rap,male,hol bitch sit lil humble ayy im nigga funk way still right yeah ass wont nigga yawk aint city shit compton hood yeah got im street fuck now go time drank full liquor shot dive pool ima faded bang wake nigga two wanna swimming got got dna inside dont shit yeah loyalty royalty know gonna way aint power born see bish ya thats one nah dollar jus feel way tell might say rappers back see nigga touch chip street america throw hell johnny mo us take lil bit nothin blower dont bitch kill vibe feel got lord forgive im know two drink music new say funk got now kunta want king walkin everybody oh run world bitch game whole talkin know poetic justice put song tell want im go write dont homie anytime alright ayy love wanna ayy got way money one give run lovely still keep uh dont im alright gon nigga im hear feel know tell life got us huh world day might got life bitches mind biatch want money power respect damn dream die lead shower pray im promise sing nigga will thirst tired life back jesus come dyin know shit youll black im dont blacker berry cah want hate everything say big sweeter juice mean know yall nigga look dont take sexy go yeah know shit ayy gotta bitch ima make loyalty im want fired high tell fire loyal said m die now swerve yeah geeked love nigga time mic huh back come many one make never night shit done right fuck woah woahwoah got nigga dont give light adhd limit eight doobies face twelve bottles fear die god im yo ass now ill beat prolly earth gonna back better high nigga man never gave money go back home tax comin every star two hit first
MF DOOM,MF DOOM,rap,male,say mic around thats back one sound doomsday im come dig never go mf womb nigga man fuck telling yeah im rap around snitches perpetrator right whole yo shit know food man ill thats people shit now dont wait back even need keep gonna tell tell one told eye matter now doom must kick left eat em mic hold heat super doom jameson keep let dont j jonah new check girl hes always name take gone thats stop doom em free key hes gs expect check got youre dead already keep rhyme yeah ha em time uh right sell dimes one mostly cash thought pen friend know us never em let many one doom need alone see dont ya face shit hot im dont god born aww strive never head forget potholders old em away man got doom head one waste another soap sons fanbase know brothermans dope real weirdo doom hear sleep rhymes might need take told let low shit new nine fifty pill cant mask shit got mic man hand brother still see face last pull one life told one remind remember im yall ball make hand ya yo better smack might week futuristic ballistics far eccentric forensics dedicate mix subroc hiphop hendrix might pocket note father guards voice time got back dont thats last chocolate well one little home snack know owe doom say voice right back em wreck first know us bout youre now see never hell gas drawls death brother two hit x metal face doom high bag real life s got man gay now dont dollars come money damn aint idea yeah im listen love war got take life pain look neck see never wound purple heart veteran morphine back last went day twisted got lights hey wigtwisting season wigs within mostly crimes treason
Nas,Nas,rap,male,im new york state mind nigga time back sleep black shit now block never yeah nigga uh yall ill fuck will soul son already god know aint ether king across cause know life go bitch die thats never im youre gonna sayin us high puff world mine whose im alone everybody shit make fallin presidents represent life yo yeah hold nigga ther aint one sleep know yall em shit back thug got made yo cause aint hard tell nas mic deep well buddha sneak inhale analyze im ill beats youre one love nigga man time home back got shorty know shit black plus heard dont ruled world love em id diamond black imagine free son time baby still days wed represent nigga shit man big yall real spot street day us em corner im never nas im life death deep uh man rebel poetrys never fell halfman halfamazin doubt time halftime right im yo man cant cause word hit near rap nas time rhyme foul comin outta queensbridge dangerous mc memory lane real word crew now let take trip thats nigga got firm yo ki time know mean man top ill em wit see black one need nigga mic im yeah time now thats cause us fuck theres gun shit wanna know work hard ill save music came yall girls young cause man learn gold daughter call brothers im sons shes got know sayin less important aint plus father school cherry good yeah life heard im home man hidin somewhere cant see alone realize wanna now hate stop wont cant nigga cause cmon thats go uh right never im motherfucker yeah got im back shit give epmd dont business cause one garden aint uh even don nas di new york citycity people ghetto mad yeah girl dem dance inna afford
Yasiin Bey,Yasiin Bey,rap,male,mathematics talking check math yo rock million numbers crack mighty mos def simple revolve around im know man cant let yo afford stop one moment soon forget big dance got know peace yall im dont هذه ماتربحش feel black well sometimes mind ecstatic huh uhhuh rock im hip hop say one two time let back black man got low getting free people shine light world black sometimes wanna right one said see thats dont now im know back go got yall ill world man thing time leaving travellin movin places hiphop god people two time got lot thing fear three bring think going better valuable pharoahe cause im yall aint ya know mic might oh step away cold funk fracture nigga say mr got im yo now cat ho everybody face way check dining town back place live brooklyn yo cat im big sometimes go time aint wake hey say love yall im check rhyme feel made emcee writing now promise believe start think sink speedin stateahs tell observe take make cats back shit speed law money brooknahm vietnam heat im let yall sun family man nigga move shine sunshine shinin brand day dawg dont water cash world money new gettin said now say drinkin let em know drink go dont caught throne hard poor aint nigga shit theres myers say live yasiin young still rock bo roll aint black got soul take whoaoh dont music elvis presley may dig now got back black crew know yo want wanna time nigga feel mos feeling great simmer now rock dont stop quiet dog bite hard im god skin one rhythm hah love make know yall back understand man shout got empire never gotta yea ladies gentlemen born soul history season mine happy felt bad good holiday love brooklyn year got without
Al Green,Al Green,soul,male,let whether times together stay good bad want baby ooh lovin happy sad make ill love happiness yeah make heh say wrong power right ohh together wait minute well good mend broken heart yeah live wanna stop tell help feel baby think man never rain baby im tired alone hey yeah say love ya sometimes onmyown wont help girl soon know love wanna wont wash cant water take dont put tell stay river things sixteen love still know ahha im hey shonuff let dont feel look eyes well seems wrapped time yeah good lay head baby one upon pillow hold warm tender body close hear simply beautiful hey love id whole lotta good way gave tell expect outta gotta im dream make last forever come wanna true oh melt take shh will lord wake stars hes coming back gonna alright know said yeah peace true good ready everything love happiness baby take come wont hey love hand make troubles yeah show cant believe way inside shake ride yeah sally baby now wipe eyes hey everybody say gotta east west dance free thank last sing yeah god almighty song im baby long got oh babe alright im ram drive cause now next hey oh think yes try baby bet life wanna hey baby im glad youre yeah love know youll never mine let thankful say darkness god love say blessed oh see got much weve im halo let mine morning rise call come home back love youre way time yeah days work baby oh right losing judy yeah im met oh got one sweet never thought life well telling bout shes baby love yeah thing oh im stop rain wonderful now let dont ive crying see time funny slips away aint told thing remember oh know baby well doin youre gonna
Aretha Franklin,Aretha Franklin,soul,female,little bit re respect home sock baby im yeah askin come aint give want got prayer together forever answer love baby will say youll little now oh stay heart never think freedom let oh youre go yeah bone right now baby deepness trying mind free feel make woman natural day made cause im youve done good inside wanna looking morning chain ooh oh fool im yeah take link got treated weak might said gonna five never aint im man oh loved yeah youre dont know way gonna good guess cause step one ahead im away take cant cause far backwards heartbreak misery id old fool way aint wont let oh love give need baby please know man youre say womans rock steady baby feeling oh funky got hips take ride side might lets call song daydreaming thinking lets im baby away want hey go dont care hes love somewhere far light oh shine walk beautiful yeah jesus world come hes dewdrops mercy bright around us thank oh yes jesus got lord soul looks back wonder im ima sing wanna hallelujah send honest darling yeah know ya thrill baby ah yes long take youoohhoo oooh woahohoh right man woman home shes got nights dont want days youve take love make human youre need got baby know ohh love long cause ill right weve yeah rahespect open ooh different world come yeah know now hey parents loved stand behind may mmm im woah deeper love pride yeah ow got ive strength give oh aint easy survive inside tap im window pane going door baby rap gonna til come back thats see ive doo rose still girl baby youre cant flower leave take make break hold power life water dont bridge still yes troubled run deep trouble leave alone let yeah will lay
Clarence Carter,Clarence Carter,soul,male,son patches papa day said im depending family mama cause see tried tears pull left love strokin stroke ha make woman made clarence carter start huh east west best let yeah know man caught making love another wife im gonna temptation now lonely hopin might call back door santa make ho lookie runs break day little girls aint old come slip away now oh darling need see give tell right yeah love sweet youre somewhere love one gonna dont will feeling girl leg wanna sing verse woman cops judge know grandpa cause wont grandma mother father said nature got yeah take cant fly kite give gonna cant see aint cry crying go darling find somewhere good time now youre ill talk much people worry death even pet dont know wherever go never seen make scream medicine love dr cc im mmm dont call back work cant afford take yeah youll love keep back snatching want tell know now girl right thats oh expect youre afraid fox im looking got ha lookin wanna now girl gonna tonight money night big something baby weak fight yeah got now falling im ive oh uh huh really love little sweet never love see know gotta wild though may mean ill kiss lips pay mind right oh time now feeling darling yeah wont let love theres inside cant got come im oh free want know give beat boys soul lost rock roll drift away day supposed disrespected show tell man woman say im let jealousy something said even pulled hair without baby cant darling im oh love need first much outta head cause addict hooked love leave cant alone got oh baby good body lord know thing wont catch us another time corn place cotton high growing fine willie laura yall mae say yeah aha
Curtis Mayfield,Curtis Mayfield,soul,male,im pusherman got mellow lord want know super man heavy yall now mama daddy nigga move child might hush now dont cry folks understand though may find time take people makings little righteous way go one know believe told youre second none love mankind reflect dont worry say gonna everybody people book read sisters whiteys crackers theres hell go talking tryin super fly ask game know man oooh youre gonna make fortune lose dont questions let child didnt love hes runnin gone mama kind nothin couldnt im got rip take hey ha freddie lord yeah dead said man now junkie thats plan another wanna ooh welfare mr keep away im make man got wanna trying dont say aint grows hey know stand let brother come really mind people darker blue say now cant tell pardon love dont things mean know always look baby ask youre movin emotions worry will nothing gone im world time mind far belong go wrong took replace erased still feel never give love really want baby cant even mad thing swing feel good true youre gun new day brand change world order mind human race daddy cause theres need dont longer back world hard ooh dont damn war long boy life give gotta know home ya glad man see thing ive got natural high put im lifes cant funky junkie sure side town never bounds dont care depression im anybody live around learned share teachings fair change trying seasons people know time make life got everybodys weve surpassed september lot scars right darkness see dont blind petty evil bother youre playing clothes wear laugh pressed clean drinkin jesus talk t amen time don hear never fear new say way know us tripping im babe youve sweet ooh love come wee day got mama alright youre girl
Marvin Gaye,Marvin Gaye,soul,male,whats going brother right woo oh sister hey baby yeah today mother picket happenin tell darling heal sexual healing baby good wake oh feeling need im cant fine relieve mind baby let come ooh love oh hey know gonna wrong aint push woo dont worry mother make wanna holler oh way life yeah aint living baby throw hands don t heard grapevine yeah much longer honey baby know guy mine oh im lose mind youre want baby oh way right love ooh dont gotta woo sugar precious wanted babe yes mercy father oh please na help us things aint used ah lord woahoh mmm ooh let got baby dance give dancing lady shout funky want dancin keep good look party come baby hard im trouble ive thats dont now sugar moving gonna oh known make whats happening brother man getting ah know will friend im cant find say tell want save world live la children really oh wont cares life babies try destined die let flying high friendly sky oh go stupid minded cant pain without leaving ground lord place lover baby please every save moment ooh oh distant think sugar night sometimes say misery late oh baby much time love never cry ah darling now ill happy farewell well love oh us talk friend father yeah dont go god jesus asks hell yes made sunny thank oh one love true youre days youve yes smile upon face gleam flows love baby ooh tried really loving world stop know say remember never good time make love us oh alright feel thats live hey ah people know god right lord baby baby give im head ill come thats gonna love giving life keeping faith hung soon m mine never youre us baby nothing come s gonna im oh said glad found
Minnie Riperton,Minnie Riperton,soul,female,la lovin dee maya ooh cause day every beautiful love come life easy youre one na mmm flower will find born people may mosaydee kaylie lowya roses sing simple things inside come love will see wanna ride yeah two one huh strangers hmmmm ummmm people back memory lane save dont know see im go photograph way happiness pain happy love baby im trying oh show love care tell know true may need ohoh every time alone reasons life youre might oh sweet delight sing spark inner light wonder burning bright think perfect oh angel one love making true history fooling impossibility fantasy storybook dreams come take trip mind little explore youre another magic carpet ride closer look tryin hide one im never love baby now hand coming grab hat cause go around wonderland floating movies comes around im love every feel fire hard tell desire need make spirit whole time know come garden ill take youve lived youll stay hand lead right let stars fill arms im love dreaming deeper harmony meaning birds tune songs refrain now ooh sweet whoaoh love need oh make tender complete live rapture loving needing teasing pleasing sharing caring waken see might dream thats sit edge things brightly sun come everyone look paint world let know wont long nice see one old friends weve gotten much higher come around sit way every day paradise mind adventure believe aint cause dream want keeping hope alive chance fire light oh baby ooh yeah let cmon know ill higher feel que try set time give show mean love dont life see need hand sun gentle warm make complete expecting sixteen dreams schemes thinking year taking thoughts reflecting musing autumn making mind certain likes close eyes remember baby breeze leaves stream dream fireflies summertime first love hear magic song
Nina Simone,Nina Simone,soul,female,new know feel day dawn life im feeling good mean world sun birds flying high power lord run day rock hide praying said dont please sea boiling go devil oh fly aint gonna wanna blackbird one name go hold got care place big enough holding doo youre put love spell mine cause ah better aint lyin know cant stand yeahyeah id wish know feel free say yeah im sing cause lord things em give longing strange fruit southern trees blood leaves bearing roots black bodies swinging breeze hangin poplar pastoral dont im oh let misunderstood sometimes know please baby see soul whose intentions good lord name skin call hair aunt sarah long strong mother saffronia sweet thing black arms woolly slow know dont mississippi everybody goddamn rest alabama gotten upset tennessee made lose cant gonna got aint ive life home shoes money class skirts sweater perfume bed man mother culture story go never know one always im come make anyway even latest supposed perhaps tell care baby dont even cant see shows clothes cars races hightone places liz taylor style live hard aint oh baltimore little city hide beatup seagull marble stair tryin find ocean see sweet never gotta come back love know ive make feel man might dont start dont let porgy handle loves take keep stay forever drive mad wanna ive got man love time lonely somebody night say might leave let wont believe id rather happy find wind wild love kiss life cling let touch hear sound mandolins begins youre spring things young gifted black oh know theres world thats youre truth lovely precious dream open heart lilac wine love feel see want tree think drink sweet heady unsteady listen isnt wheres working go hold right hit well reckon still got terribly far breaking rocks chain crime
Otis Redding,Otis Redding,soul,male,sittin dock bay im roll watching away gonna tide wastin time ill come ooh home yeah try little tenderness dont got never gotta love man youve squeeze tease know nah got im loving come thing man give store good old boys dozen aint nothing pretty arms hold need mine wanting oh lonely yearning let grateful will burning cmon somebody feeling give got hey yeah want respect honey ooh need im come home now askin little ive early now darling met morning baby coffee dont yeah cigarette talking honey good love love now world wanna night precious means thats oh keep wont grow tell know long pain heart baby little stop lord come back love wont let sleep another day began love thats strong ill baby much sun whoa tears go gone warm darling deep wide dreams ive got remember know rough dont ooh saw listen honey said friend kiss eyes oh long know time change come mother brother little gotta said coming now im thought stop now love oh dont ive loving long please growing make tired stronger wanna cant ooh girl ive got talkin bout hey oh guess say make feel way sunshine cloudy stand come darling now wont need long baby little afraid whenever im trouble helping hand lovers prayer come hope honey cant life home wont missing reach love might keep im im man love baby call ooh girl thats take cause one long make let want dum song happy deedle dee lovely good old go come sing now grins baby bring water now miss keep dont oh crying till well run dry left cried good lord yeah love words say got day honey cant living without painful tempted call youve hand merry christmas baby sure treat nice feel ha bought im oh love honey paradise mighty
Sam Cooke,Sam Cooke,soul,male,long oh time know comin change gon come yes will go river im dont brother know dont ta much love wonderful world history biology science book french took one student yeah bring sweet loving home baby know ill leaving aint buried stayed change mind behind send know honest whoaoh mhm darling thrill first thought infatuation woo lasted long now find ah huh working thats sound men chain gang work hoh hear uh well dont know morning daddy standing summertime living easy fish jumping cotton high rich mamas good looking hush let amen shine im gonna ha yeah tell little show love light mine everywhere go cupid arrow heart let straight lovers hear draw back bow go please cry fly now wish oh love heart best snowflakes fall bluebirds spring give song sing kiss july lemonade nothing youre know change love honey id cause make oh go million miles away write sixteen young fall love know heart glow wed give fast never will happen mere lad mariah oh wind call im lost blow name rain fire now girl mmm lonely love got another im aint nobody saturday night money now cause paid wish talk awful way twistin night theyre away lean twisting man back now everybodys feeling great twist let find another day oh yes lord know said sit kept ive gods yeah im gonna say nobody know trouble ive seen oh glory sorrow yes lord hallelujah sometimes im hall still gone ive last mile way close rest know joy day lord oh await yes see right long know honey love baby tell oh whoa thing believe one youre friends found night da long la time good gonna take let roll stay till soothe soul might rolling along old man river keeps mmm dont plant sweat strain body aching racked pain
Stevie Wonder,Stevie Wonder,soul,male,day always loving know eight life time earth sea dream becomes night ill say every superstitious things dont way believe understand suffer superstition aint thirteen month old baby broke looking isnt lovely love one made life done wonderful precious less minute old never thought wed day back go wish come boy thing bring door might give nasty looking little nappyheaded say called heart love much care mean bottom new day three words years celebrate chocolatecovered feel people music groove go will theres world within language understand equal opportunity sing dance dont worry thing bout mama chévere bien cause todo stá check know ill standing uh keep cause world highest ground wont long im glad til reach turning let try going happy birthday know day people make time love never dream will hearts unity much set da city la enough living oh yeah lo hey street aint nothing live hands new jammin oh middle makins master blaster break dawn baby nobody told na bet know didnt faith got baby met hallelujah love somehow shes around now youve good friend know night come ive true though believe love never far say dreams maybe might overjoyed loved find love dont want bore oh knocks feet theres somethin bout makes weak hearts trouble darling love got kisses yes chocolate candy honeysuckle dripping full lips waiting blow ha earl girl sky ribbon love hmm may will theres dodo oh long night prayed star guide way lover parttime scatting night wrong know undercover passion run chasing love sun strangers day knowing la lala cherie amour little wish mine distant pretty one adore youre girl heart beats think baby love thinking feel im tell girl pray bout id cant youre day cause love hates need dont goin got yeah today delay send right away round stop breaking
